epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.2980489134788513,1.0498290061950684,1e-04,0.3485570549964905,0.9040208458900452
1,0.410287082195282,0.8659491539001465,1e-04,0.482661634683609,0.7651026844978333
2,0.4715774655342102,0.7845609784126282,1e-04,0.5326035022735596,0.6921021938323975
3,0.5341513156890869,0.6997979879379272,1e-04,0.5170854330062866,0.6881299614906311
4,0.5648387670516968,0.6572818756103516,1e-04,0.6094397902488708,0.5524171590805054
5,0.6090117692947388,0.5996753573417664,1e-04,0.6481943726539612,0.5138490796089172
6,0.6440722346305847,0.5440438389778137,5e-05,0.5798789262771606,0.6121557354927063
7,0.661909282207489,0.5210692286491394,5e-05,0.6850432753562927,0.4675690829753876
8,0.675536572933197,0.5024411082267761,5e-05,0.6684600114822388,0.4910845458507538
9,0.6860628128051758,0.4886619448661804,5e-05,0.7036581635475159,0.44214922189712524
10,0.7019756436347961,0.46325957775115967,5e-05,0.7074556350708008,0.4400390088558197
11,0.7210211753845215,0.43343430757522583,2.5e-05,0.7252597212791443,0.4151204824447632
12,0.7313046455383301,0.4169667661190033,2.5e-05,0.7454232573509216,0.3864430785179138
13,0.73896723985672,0.40989038348197937,2.5e-05,0.7489866018295288,0.3849834203720093
14,0.7455731630325317,0.39785411953926086,2.5e-05,0.7557923793792725,0.37356746196746826
15,0.7534567713737488,0.3871111273765564,2.5e-05,0.7574635744094849,0.37178292870521545
